# Test data: ../data/OClinks.txt
# Parameters: L = 1100, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 250, duration = 0.1723727559992767 # avg: 260.93333333333334, avg duration = 0.17421771480003373
# run No., objective function value, duration
0,266,0.1798016960001405
1,260,0.1773323919996983
2,250,0.1723727559992767
3,267,0.1775493879995338
4,264,0.18465653299972473
5,263,0.17236241299997346
6,261,0.17170694800006459
7,266,0.172476423000262
8,263,0.1726615870002206
9,262,0.173438745000567
10,261,0.18239650300074572
11,262,0.17139904400028172
12,269,0.17794445500021538
13,253,0.17312735700033954
14,256,0.1715646540005764
15,251,0.1635470119999809
16,261,0.17669171400029882
17,260,0.17322092799986422
18,259,0.178305411999645
19,265,0.1722401280003396
20,261,0.17213239000011527
21,262,0.17113297899959434
22,257,0.17103194299943425
23,261,0.17234782800005632
24,261,0.17284522299996752
25,263,0.17264076100036618
26,264,0.1791259239998908
27,255,0.17335915999956342
28,268,0.17366324700014957
29,257,0.17345590100012487
