# Test data: ../data/com-amazon.ungraph_dat.txt
# Parameters: L = 167431, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 6419, duration = 271.0698492899992 BDC
# avg: 12431.6, avg duration = 265.3960848279667
# run No., objective function value, duration
0,11394,275.01526857299996
1,20961,262.9750500750006
2,8504,271.6285989049993
3,14870,273.10138828599975
4,14016,272.3537171809994
5,11455,280.0912486920006
6,11797,275.59541649400035
7,11780,267.49044317599964
8,12528,265.5223128890002
9,10925,267.3420693750004
10,13313,260.6772731030005
11,12560,269.2613849650006
12,14450,265.30823527699977
13,11288,257.66703705300006
14,14720,262.07535053800075
15,12107,262.9849369170006
16,12587,259.09045127900026
17,12672,258.16772210199997
18,12601,259.3530909809997
19,11015,259.03123587699884
20,13465,258.42342889800057
21,9289,263.3229572559994
22,6419,271.0698492899992
23,13639,266.78053468599865
24,18436,264.3559750630011
25,9321,267.93530962500154
26,11432,265.75356355999975
27,10897,262.4918354299989
28,11955,257.57211552100125
29,12552,259.44474377199913
