# Test data: ../data/condmat.txt
# Parameters: L = 500, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 2486, duration = 3.75259759400069 # avg: 2520.133333333333, avg duration = 3.7479751402000754
# run No., objective function value, duration
0,2507,3.764795649000007
1,2514,3.691572016000464
2,2501,3.7284644920000574
3,2513,3.7242265750001025
4,2539,3.7143347559995163
5,2522,3.7013818069999616
6,2499,3.782924529000411
7,2530,3.727611930000421
8,2500,3.749981074999596
9,2522,3.7279946720000225
10,2549,3.7606759050004257
11,2519,3.765449794000233
12,2541,3.7848882289999892
13,2515,3.7880236230002993
14,2535,3.731639155999801
15,2521,3.7564324759996452
16,2511,3.7413616369994998
17,2528,3.7976086509997913
18,2532,3.7779248460001327
19,2538,3.722420824999972
20,2512,3.760333021000406
21,2497,3.7406291650004277
22,2506,3.762470398000005
23,2530,3.734452548000263
24,2486,3.75259759400069
25,2553,3.7903618339996683
26,2531,3.7431364739995843
27,2514,3.7363223060001474
28,2543,3.735234634000335
29,2496,3.7440035890003855
