# Test data: ../data/email-Enron.txt
# Parameters: L = 18346, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 598, duration = 2.709266490999653 # avg: 647.5, avg duration = 2.559263034433328
# run No., objective function value, duration
0,613,2.5869258229995467
1,639,2.5396592589995635
2,668,2.5516075370005638
3,690,2.520833233999838
4,647,2.6613675099997636
5,649,2.5335376129996803
6,634,2.54947975199957
7,664,2.52416699800051
8,652,2.535337461000381
9,639,2.561786975999894
10,616,2.526961741999912
11,651,2.5539801539998734
12,678,2.5461742449997473
13,608,2.5423178880000705
14,613,2.555954190999728
15,672,2.55721006100066
16,686,2.5473014760000297
17,649,2.557299067000713
18,598,2.709266490999653
19,645,2.538142624000102
20,691,2.538047791000281
21,619,2.55388705400037
22,684,2.5384502839997367
23,697,2.5351029739995283
24,623,2.661890360000143
25,611,2.5647477849997813
26,653,2.5470565409996198
27,656,2.559780368999782
28,625,2.5424322520002534
29,655,2.537185521000538
