# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 305, duration = 0.5912371290005467 # avg: 361.6333333333333, avg duration = 0.6002409486334425
# run No., objective function value, duration
0,357,0.5988696410004195
1,340,0.6429245449999144
2,388,0.5959419200007687
3,333,0.5866439219998938
4,305,0.5912371290005467
5,336,0.591294955000194
6,339,0.5734503919993585
7,389,0.6138533630000893
8,366,0.6253205729999536
9,362,0.5780366170001798
10,356,0.5881684650003081
11,406,0.5939333149999584
12,383,0.6304415109998445
13,355,0.6163215149999814
14,357,0.5762288120004087
15,342,0.6097781410007883
16,346,0.5857107089996134
17,377,0.5957988250002018
18,367,0.6077914039997268
19,359,0.5811459149999791
20,373,0.599875842000074
21,352,0.6369240869998976
22,388,0.6105047789997116
23,377,0.5865415900007065
24,365,0.5851081880000493
25,375,0.5942259620005643
26,354,0.5999939129997074
27,362,0.5906108520002817
28,356,0.5978165180003998
29,384,0.6227350589997513
