# Test data: ../data/com-youtube.ungraph_dat.txt
# Parameters: L = 567445, beta = 0.4, log = 2, nruns = 30, re-insertion = False
# Best result: 25023, duration = 18899.43233980605 BC
# avg: 25482.133333333335, avg duration = 18889.52550081591
# run No., objective function value, duration
0,25333,18836.690536419002
1,25292,18461.405359395998
2,25772,19057.671077924024
3,25841,18676.230969353986
4,25801,18614.602215395018
5,25814,18619.997726773
6,25212,18840.20145555702
7,25666,18646.676593155018
8,25470,18850.480886619014
9,25333,18905.327854175004
10,25581,18527.82819898601
11,25783,18751.746153325017
12,25311,19118.791323726997
13,25181,18936.610843539005
14,25449,18825.67250886804
15,25291,18853.320648244
16,25023,18899.43233980605
17,25445,19372.078955737
18,25616,19077.81091931503
19,25735,19014.71860947198
20,25115,18989.717057792004
21,25183,19284.747815334005
22,25267,19817.886465771007
23,25728,19012.97470511298
24,25631,18553.789689609082
25,25051,19022.37378662196
26,25392,18843.564335161005
27,25768,19078.902549903025
28,25858,18634.415105737047
29,25522,18560.09833764902
