# Test data: ../data/twitter_combined_dat.txt
# Parameters: L = 40653, beta = 0.4, log = 2, nruns = 30, re-insertion = False
# Best result: 3630, duration = 627.2092668579999 BDC
# avg: 4408.466666666666, avg duration = 618.9786475294999
# run No., objective function value, duration
0,4614,609.3187266540001
1,3855,628.2080457090003
2,4528,629.313970405
3,4612,615.645976457
4,4730,619.0997457589997
5,3630,627.2092668579999
6,4457,617.1803007130002
7,4169,613.6327499380004
8,4504,627.08028225
9,4406,612.1479216939997
10,4359,616.7207300100008
11,4341,619.8126856180006
12,4434,619.3890188610003
13,4709,613.6896123179995
14,4613,605.5637523240002
15,4181,615.5533054139996
16,4523,600.2325141050005
17,4561,614.584273859
18,4402,615.620614417001
19,4498,636.224607057
20,3988,624.0872371329988
21,4610,612.8693508899996
22,4630,620.6044553520005
23,4781,625.0912411979989
24,3791,638.6734969010013
25,4241,629.6417353849974
26,4655,616.745806390998
27,4349,615.508214608999
28,4545,624.9098040880017
29,4538,604.9999835179988
