# Test data: ../data/EU_flights.txt
# Parameters: L = 850, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 128, duration = 3.0692726360011875 # avg: 131.3, avg duration = 3.0625142876666964
# run No., objective function value, duration
0,133,3.1960235189999366
1,132,3.1881683330011583
2,129,3.154203721000158
3,135,3.0277783279998403
4,128,3.0692726360011875
5,133,2.976064594999116
6,132,3.0716380840003694
7,131,3.0506232990010176
8,128,3.1555038370006514
9,129,3.0457798070001445
10,130,2.9983397100004368
11,129,3.016618044999632
12,130,3.0125799580000603
13,130,3.100182300000597
14,135,2.866187761999754
15,132,3.1420237599995744
16,132,2.9265172819996224
17,137,2.98149207699862
18,132,3.021894479999901
19,131,3.1824785160006286
20,131,3.0261595339998166
21,128,3.1512075629998435
22,135,3.070767971999885
23,129,3.1985892890006653
24,133,3.143245907000164
25,129,3.040966856999148
26,136,2.96143643600044
27,129,2.8323346149991266
28,130,3.119018257000789
29,131,3.1483321509986126
