# Test data: ../data/astroph.txt
# Parameters: L = 12000, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 1460, duration = 124.06887602200004 # avg: 1507.6666666666667, avg duration = 125.46825360623328
# run No., objective function value, duration
0,1496,124.18203479300064
1,1460,124.06887602200004
2,1487,124.16234452999925
3,1506,125.15872318399852
4,1537,126.27958437899906
5,1479,125.01780267100185
6,1496,125.1124206989989
7,1485,124.1352033239964
8,1494,124.69512313800078
9,1505,123.89347160700345
10,1490,125.98402878699926
11,1535,124.0776826600013
12,1500,128.997805539002
13,1502,125.7028658570016
14,1526,125.30233858399879
15,1528,128.24391098300111
16,1489,126.00415605699891
17,1469,125.05784891199801
18,1525,124.22914169499927
19,1587,125.0517394060007
20,1495,126.32568679599717
21,1530,128.0364222019998
22,1525,125.19467513800191
23,1559,127.18869149799866
24,1497,125.07806838300166
25,1481,125.89817285299796
26,1516,124.01139240300108
27,1509,123.98048672699952
28,1500,126.26411682099933
29,1522,126.71279253900138
