# Test data: ../data/condmat.txt
# Parameters: L = 500, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 2448, duration = 97.92648867599928 # avg: 2469.0333333333333, avg duration = 98.59392748719971
# run No., objective function value, duration
0,2483,98.38661076300195
1,2481,98.68325476500104
2,2478,97.6167268950012
3,2456,98.63027798500116
4,2476,98.03598293599862
5,2455,97.76785969000048
6,2458,98.80456982000032
7,2479,97.74372750199836
8,2474,99.49795342899961
9,2462,100.62840969199897
10,2471,99.49157400799959
11,2474,98.95582758399905
12,2465,97.44214085899875
13,2471,98.842438235999
14,2460,99.72087041600025
15,2448,97.92648867599928
16,2461,97.85525184499784
17,2467,98.4143080899994
18,2478,99.29204346099868
19,2469,98.95963578900046
20,2475,99.94759982300093
21,2464,99.66051356399839
22,2479,98.59318054599862
23,2474,98.08307924499968
24,2474,98.4247655170002
25,2455,98.83100794300117
26,2475,98.11646794099943
27,2469,97.25303085499763
28,2466,97.3011075760005
29,2474,98.91111916500085
