# Test data: ../data/email-Enron.txt
# Parameters: L = 18346, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 435, duration = 46.628490964001685 # avg: 471.93333333333334, avg duration = 46.73610967559992
# run No., objective function value, duration
0,444,44.415397709999525
1,447,46.46207528599916
2,476,48.27976178300014
3,492,45.98451687099805
4,481,45.61882517699996
5,489,48.163486512003146
6,487,47.96762487399974
7,472,47.9227242449997
8,444,44.482319533999544
9,478,47.708867427998484
10,435,46.628490964001685
11,499,48.23198190400217
12,489,46.00789851399895
13,451,43.60982578399853
14,497,48.49188406500252
15,472,47.81765183900279
16,472,47.99510197999916
17,468,49.779937939001684
18,505,45.32531934299914
19,487,47.4498417169998
20,464,46.11654280899893
21,479,45.71886807899864
22,479,45.44347591599944
23,473,45.95500032400014
24,451,46.34737142499944
25,443,44.176708013997995
26,474,48.526523436998104
27,494,47.6566141100011
28,440,45.95689378099996
29,476,47.84175890400002
