# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 263, duration = 5.891877404999832 # avg: 279.6666666666667, avg duration = 5.796787968566544
# run No., objective function value, duration
0,277,5.959917103000407
1,278,5.812772670000413
2,331,6.024436892999802
3,268,5.8231981830012955
4,283,5.723319069000354
5,281,5.875488560999656
6,269,5.818425518998993
7,313,6.2145355269985885
8,284,5.952383379000821
9,267,5.728587562998655
10,263,5.891877404999832
11,287,5.665676315000383
12,271,5.73431058999995
13,265,5.837310699998852
14,268,5.425612643999557
15,276,5.669534394999573
16,296,5.795766278999508
17,265,5.635603373999402
18,284,6.0321285120007815
19,267,5.339914113999839
20,283,5.991428237999571
21,269,5.66329166200012
22,333,5.791271013000369
23,269,5.882480446000045
24,274,5.810676285000227
25,290,5.83181728999989
26,274,5.766888860000108
27,268,5.768564878999314
28,268,5.756164935000925
29,269,5.680256653999095
