# Test data: ../data/hepph.txt
# Parameters: L = 3600, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 1315, duration = 54.70898505100013 # avg: 1406.2, avg duration = 56.53031371150009
# run No., objective function value, duration
0,1404,56.38339989999986
1,1349,56.530606657001044
2,1421,56.85121416199945
3,1347,57.02980075400046
4,1466,56.332301619000646
5,1465,57.35339186800047
6,1400,56.832024145000105
7,1408,56.96004180499949
8,1399,56.60128496300058
9,1430,57.581921963999775
10,1424,56.31338937200053
11,1428,56.44107134300066
12,1375,56.39076754600137
13,1419,57.38084146499932
14,1315,54.70898505100013
15,1399,56.22283624699958
16,1422,56.092262436000965
17,1374,56.04250136900009
18,1386,55.96092354999928
19,1459,56.6937480760007
20,1451,55.88373401300123
21,1379,56.8551358349996
22,1401,57.09484094399886
23,1366,56.43049696899834
24,1375,56.58094744700065
25,1429,56.515299811999284
26,1413,56.487003950000144
27,1482,56.611618132999865
28,1346,56.94582348100084
29,1454,55.80119646899948
