# Test data: ../data/hepth.txt
# Parameters: L = 70, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 1037, duration = 18.528285915001106 # avg: 1051.8666666666666, avg duration = 18.736914996599868
# run No., objective function value, duration
0,1050,18.306749124001726
1,1051,18.681146891000026
2,1052,19.064464848999705
3,1063,18.71313888000077
4,1052,18.306220915999802
5,1037,18.528285915001106
6,1062,18.72731106199899
7,1056,18.649782165999568
8,1057,18.739358134000213
9,1040,18.619909762001043
10,1049,18.920217151999168
11,1053,18.381873501999507
12,1047,18.298364288999437
13,1045,18.6721864379997
14,1046,18.361273568998513
15,1057,18.809016532000896
16,1048,18.67882244700013
17,1054,18.365002440999888
18,1052,18.831124057000125
19,1061,18.79782685399914
20,1053,18.708944006999445
21,1056,18.921421629998804
22,1037,19.302928999999494
23,1054,19.048240240001178
24,1058,18.94527884300078
25,1053,19.03360013299971
26,1047,19.496973463999893
27,1064,18.99235798100017
28,1049,18.72636335399875
29,1053,18.479266265998376
