# Test data: ../data/internet.txt
# Parameters: L = 11481, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 152, duration = 14.581216265996773 # avg: 162.16666666666666, avg duration = 14.336895201366012
# run No., objective function value, duration
0,155,13.257740968998405
1,162,15.418918938001298
2,169,15.225838121998095
3,160,13.828231801002403
4,155,15.252753120999841
5,163,15.067727338002442
6,160,14.093071506002161
7,159,13.458142113999202
8,160,14.206292075999954
9,162,14.799436517998402
10,166,13.688159787998302
11,161,14.217221104998316
12,163,13.858414340000309
13,163,14.007452778998413
14,165,14.234474963999673
15,157,14.258489896998071
16,152,14.581216265996773
17,174,13.506694225998217
18,166,14.23229798399916
19,159,14.658100483000453
20,160,14.465176841997163
21,163,13.8145098649984
22,160,13.434778336999443
23,164,14.08220566899763
24,153,14.248181814997224
25,161,14.181814405998011
26,168,15.352499635999266
27,168,15.54853487299988
28,170,13.934066789002827
29,167,15.194413474000612
