# Test data: ../data/openflights.txt
# Parameters: L = 140, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 194, duration = 1.6135706379991461 # avg: 202.7, avg duration = 1.5961728615662045
# run No., objective function value, duration
0,201,1.6393678399999772
1,208,1.6412114489994565
2,194,1.6135706379991461
3,199,1.6566464269999415
4,204,1.662836599000002
5,202,1.547032742999363
6,199,1.6082359359988914
7,208,1.5745957669987547
8,213,1.6013606100004836
9,206,1.5909359019988187
10,201,1.5970183350000298
11,209,1.5487502699998004
12,197,1.5528879729990877
13,204,1.5634848200006672
14,200,1.5497157529989636
15,201,1.566928979000295
16,199,1.5513430110004265
17,203,1.5604561639993335
18,205,1.563514875000692
19,200,1.5967380229994887
20,203,1.5589013469998463
21,207,1.6001745459998347
22,197,1.6352189219996944
23,204,1.6013442509993183
24,199,1.5801675309994607
25,200,1.5680298279985436
26,205,1.62133029999859
27,199,1.6531437969988474
28,204,1.628378380999493
29,210,1.6518648299988854
