# Test data: ../data/powergrid.txt
# Parameters: L = 20, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 453, duration = 4.081407074998424 # avg: 459.76666666666665, avg duration = 4.250301265600016
# run No., objective function value, duration
0,458,4.397258793998844
1,466,4.078405334999843
2,460,4.119204852000621
3,454,4.195184232999964
4,455,4.116056833001494
5,455,4.313648220999312
6,461,4.214397768000708
7,465,4.242703836998771
8,460,4.2234404959999665
9,457,4.360872057999586
10,464,4.2079470030002994
11,458,4.079540847998942
12,463,4.3872937630003435
13,460,4.1793955200009805
14,462,4.277831782001158
15,464,4.214643958999659
16,453,4.081407074998424
17,460,3.8500314760003675
18,457,4.250714821000656
19,464,4.1053269900003215
20,463,4.342742083999838
21,462,4.285582452001108
22,459,4.295666052999877
23,453,4.251664145000177
24,458,4.673966013999234
25,461,4.065158043000338
26,455,4.479936134001036
27,462,4.30256581499998
28,463,4.405967938999311
29,461,4.510483624999324
