# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 1.0, log = 2, nruns = 10, re-insertion = True
# Best result: 356, duration = 24.6829768030002 BC
# beta = 1.0
# avg: 352.1, avg duration = 20.13744320640035
# iteration No., bc value, bdc value, duration
0,356,395,24.6829768030002
1,388,360,24.469114986997738
2,364,355,23.76445528199838
3,357,364,23.875014887998987
4,362,349,23.031802037003217
5,358,369,22.038791474005848
6,377,361,23.690967073001957
7,361,302,19.468588021998585
8,367,370,8.871633340000699
9,367,356,7.481088157997874
