# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.4, gamma = 2, nruns = 30, re-insertion = True
# Best result: 258, duration = 5.4949574030179065 # avg: 273.73333333333335, avg duration = 5.610258132935269
# run No., objective function value, duration
0,275,5.965043890988454
1,288,5.720886549010174
2,277,5.680953875009436
3,271,5.619197224004893
4,269,5.487857915984932
5,275,5.9222002559981775
6,268,5.5289078039932065
7,270,5.553885439992882
8,264,5.380552512011491
9,281,5.587256735016126
10,279,5.4286755319917575
11,281,5.664122632006183
12,270,5.650263855000958
13,258,5.4949574030179065
14,279,5.481109729997115
15,273,5.734859129996039
16,268,5.599515814014012
17,275,5.447375756019028
18,268,5.370804392994614
19,280,5.727493827987928
20,270,5.461657716979971
21,291,5.695945211016806
22,282,5.862742233992321
23,280,5.415149010979803
24,263,5.73390445500263
25,270,5.729906573018525
26,268,5.776645766018191
27,278,5.5263563910266384
28,275,5.622078310989309
29,266,5.437438043998554
