# Test data: ../data/hepph.txt
# Parameters: L = 3600, beta = 0.4, gamma = 2, nruns = 30, re-insertion = True
# Best result: 1320, duration = 55.633289933990454 # avg: 1405.4, avg duration = 55.566732096263635
# run No., objective function value, duration
0,1411,55.13284713300527
1,1412,55.63205471399124
2,1415,55.06023754097987
3,1415,54.92771119897952
4,1372,55.62571961799404
5,1413,55.768656986008864
6,1440,55.14867934200447
7,1328,55.680808152013924
8,1384,56.03613824999775
9,1490,55.775187695981
10,1372,55.72730811301153
11,1448,55.573760271974606
12,1430,56.048153746000025
13,1368,55.63893179601291
14,1418,55.23433542900602
15,1413,55.57088604400633
16,1445,55.86237393299234
17,1320,55.633289933990454
18,1440,55.415685115993256
19,1413,55.6444856460148
20,1365,55.361251263006125
21,1447,55.96327656597714
22,1390,55.86047128698556
23,1350,55.79226590201142
24,1442,55.77050945497467
25,1421,55.880701359012164
26,1447,55.11661617900245
27,1410,55.06709649998811
28,1385,55.51495228798012
29,1358,55.53757142901304
