# Test data: ../data/EU_flights.txt
# Parameters: L = 850, beta = 0.4, gamma = 3, nruns = 30, re-insertion = True
# Best result: 127, duration = 18.30411087399989 # avg: 130.03333333333333, avg duration = 18.61167321416651
# run No., objective function value, duration
0,128,18.801110348002112
1,131,18.99821413299651
2,130,19.1339075040014
3,134,19.51493356800347
4,131,19.568008973998076
5,128,18.2991358520012
6,129,18.34096591999696
7,130,18.19640880299994
8,130,19.127322267995623
9,131,18.77704258599988
10,127,18.30411087399989
11,127,17.70861023600446
12,132,18.639748834000784
13,130,18.97705183400103
14,133,19.109455609002907
15,131,18.152638521998597
16,129,18.034765609001624
17,129,17.634420825001143
18,131,19.419769387997803
19,135,18.71231989599619
20,128,18.505727941002988
21,129,18.579582544000004
22,129,18.194062054004462
23,129,18.002985175000504
24,127,18.189935689995764
25,131,18.44864172099915
26,136,18.380495206998603
27,128,18.93131551099941
28,128,18.67864014799852
29,130,18.98886885099637
