# Test data: ../data/humanDiseasome.txt
# Parameters: L = 10, beta = 0.2, log = 2, nruns = 30, re-insertion = True
# Best result: 49, duration = 1.0277180180000869 BDC
# avg: 50.03333333333333, avg duration = 0.9689575597333412
# iteration No., bc value, bdc value, duration
0,50,50,1.186426690999724
1,50,50,1.0806999380001798
2,51,51,0.9779567850000603
3,50,50,1.0047177940000438
4,50,50,0.9541103970000222
5,51,50,1.0238452930002495
6,50,52,1.2038631320001514
7,51,51,0.945439062999867
8,50,50,1.0496971580000718
9,50,49,1.0277180180000869
10,50,50,0.8354800229999455
11,52,51,1.1423387469999398
12,51,50,0.8533112119998805
13,51,50,1.1039788690000023
14,50,50,1.1521897590000663
15,50,51,0.9202566220001245
16,51,50,1.0185615310001594
17,51,50,0.9505722809999497
18,50,51,1.1125059589999182
19,50,50,1.013770277000276
20,51,50,1.0330674020001425
21,50,50,0.9121208159999696
22,51,50,1.1383746629999223
23,50,50,1.0067503639997994
24,50,50,0.7953004040000451
25,50,50,0.8140190899998743
26,50,51,0.7670164609999119
27,50,50,0.7048682479999115
28,51,49,0.7092936569997619
29,50,50,0.6304761380001764
