# Test data: ../data/condmat.txt
# Parameters: L = 500, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 2447, duration = 97.1324433560003 BC
# avg: 2470.6666666666665, avg duration = 101.01393423533324
# iteration No., bc value, bdc value, duration
0,2461,2646,98.16122179800004
1,2470,2626,98.62557749000189
2,2477,2652,99.24483291599972
3,2484,2657,99.9588764149994
4,2483,2630,98.31728084900169
5,2476,2618,99.29394434699861
6,2490,2610,99.46655195499989
7,2495,2624,98.66341495499728
8,2466,2662,97.73947121200035
9,2454,2603,97.83590240899866
10,2447,2647,97.1324433560003
11,2461,2623,99.15804864999882
12,2478,2653,98.88061056999868
13,2461,2620,102.57249221900202
14,2467,2588,99.99694203500258
15,2476,2625,98.633571397997
16,2481,2626,103.56225646500025
17,2461,2625,99.14728935499807
18,2467,2638,98.47391840099954
19,2463,2615,105.2780165539989
20,2480,2615,110.66649974599932
21,2452,2635,114.95610404599938
22,2491,2640,116.33726515599847
23,2470,2624,98.47950104300253
24,2467,2585,98.39431182499902
25,2468,2618,98.4097588040022
26,2472,2611,97.68291233100172
27,2474,2608,98.54020981000212
28,2469,2629,106.28196733799996
29,2459,2621,100.52683361199888
