# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.8, log = 2, nruns = 30, re-insertion = True
# Best result: 268, duration = 16.494959999999992 BC
# avg: 301.76666666666665, avg duration = 16.236874906333348
# iteration No., bc value, bdc value, duration
0,324,277,16.546227723996708
1,288,349,16.92048478599827
2,296,333,18.53517230199941
3,301,336,15.81932843100003
4,315,364,17.36898117799865
5,274,276,16.864396525998018
6,317,323,17.86634497400155
7,327,326,15.631225971999811
8,331,303,16.60850854599994
9,310,360,18.142020942999807
10,332,318,17.469421993999276
11,287,346,17.01180571900113
12,292,286,16.784688052001002
13,296,324,18.493861042999924
14,295,330,16.336210035999102
15,322,341,16.630514729000424
16,301,304,16.595615531001386
17,301,309,17.962728102000256
18,303,361,16.90177191300245
19,268,345,16.494959999999992
20,311,324,16.76129198700073
21,292,348,18.348830705999717
22,290,342,17.389736870001798
23,332,357,17.430262484002014
24,287,340,12.49856299699968
25,277,339,13.923702373998822
26,306,328,12.42539050400228
27,303,352,13.312348700997973
28,344,328,12.232058721001522
29,345,343,11.799793344998761
