# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 1.0, log = 2, nruns = 30, re-insertion = True
# Best result: 277, duration = 13.736205706000021 BDC
# avg: 353.7, avg duration = 14.010275246833329
# iteration No., bc value, bdc value, duration
0,395,351,15.128809393999973
1,365,376,13.660784164000006
2,392,327,14.924038640999981
3,372,364,15.395584909999968
4,360,382,14.285896169000011
5,444,370,16.52134682800005
6,371,340,15.60316729799996
7,378,370,16.49829721200001
8,347,373,14.028976944999954
9,364,335,14.729504755999983
10,362,338,14.97092327599995
11,373,374,15.368110658000035
12,402,354,15.647219260999975
13,364,349,14.178451510999992
14,369,376,14.762114999000005
15,371,360,14.756609389999994
16,386,360,12.967684839000015
17,387,368,13.752733851000016
18,364,378,13.612425851000012
19,359,369,14.357577866999975
20,378,366,13.771697041999971
21,380,401,16.003428961000054
22,372,343,14.887638535999997
23,356,277,13.736205706000021
24,360,358,12.329433988000005
25,355,363,11.484393398000009
26,360,341,11.23328858299999
27,370,371,10.716044950999958
28,366,351,10.831688496000027
29,347,379,10.164179923999995
