# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.2, gamma = 2, nruns = 30, re-insertion = True
# Best result: 249, duration = 41.90657064699917 # avg: 283.76666666666665, avg duration = 42.0511957995334
# run No., objective function value, duration
0,294,45.51554479799961
1,320,47.53799038099896
2,277,42.20095699600279
3,278,46.32115409900143
4,280,43.75363412399747
5,286,45.46121371099798
6,282,46.3882926389997
7,280,47.41259508599978
8,249,41.90657064699917
9,273,43.80599964900102
10,300,49.585672343000624
11,287,43.2076238869995
12,275,45.337696919003065
13,288,48.8300952110003
14,274,40.75962413199886
15,267,43.89753394299987
16,294,43.787001022003096
17,281,43.62223310099944
18,292,43.041291879999335
19,296,41.46191692300272
20,277,38.63176991999717
21,285,42.42451122299826
22,279,43.48528601199723
23,331,45.701868910000485
24,275,36.72188053799982
25,277,33.095796206998784
26,277,33.726221656001144
27,282,30.55553463400065
28,272,33.457710366001265
29,285,29.90065302900257
