# Test data: ../data/EU_flights.txt
# Parameters: L = 850, beta = 0.6, gamma = 2, nruns = 30, re-insertion = True
# Best result: 130, duration = 9.480242592002469 # avg: 133.53333333333333, avg duration = 8.390195248400657
# run No., objective function value, duration
0,130,9.480242592002469
1,137,8.628139590000501
2,135,7.965879536001012
3,132,9.475087413000438
4,136,8.56837228600125
5,135,8.597733422000601
6,130,9.469808379002643
7,136,8.82529528500163
8,136,8.262270127001102
9,130,8.79087743400305
10,133,8.837661896999634
11,136,8.603832902001159
12,132,9.071650657999271
13,132,9.305936124001164
14,131,9.47857557700263
15,134,8.412411412999063
16,138,8.632425540999975
17,131,9.471797456000786
18,132,9.327948091002327
19,132,8.83143371299957
20,135,8.289765330999217
21,133,8.504504705997533
22,134,8.459559465998609
23,135,8.967289077001624
24,130,6.944367039002827
25,137,6.5245273990003625
26,132,6.5166425190000155
27,132,6.80295926799954
28,135,6.5219427369993355
29,135,6.1369204740003624
