# Test data: ../data/OClinks.txt
# Parameters: L = 1100, beta = 1.0, gamma = 2, nruns = 30, re-insertion = True
# Best result: 234, duration = 3.1056461000007403 # avg: 241.96666666666667, avg duration = 3.447728893000021
# run No., objective function value, duration
0,242,3.778571709000971
1,245,3.739205772999412
2,243,3.775514484001178
3,244,3.8643228900000395
4,248,3.676168812002288
5,246,3.862022525998327
6,238,3.732546059000015
7,239,3.8594037310031126
8,245,3.0522467070004495
9,242,3.8830089689981833
10,242,3.894314613997267
11,243,3.844365421002294
12,240,3.6831086869970022
13,243,3.7441841729996668
14,242,3.7402629399985017
15,237,3.7240845509986684
16,234,3.1056461000007403
17,246,3.258926288999646
18,243,3.7543532839990803
19,242,3.726247423001041
20,244,3.6971546360000502
21,242,3.362912780001352
22,241,3.669712509999954
23,239,3.6716638279976905
24,246,2.85793845200169
25,243,2.5017533930003992
26,239,2.5710716970024805
27,236,2.5243476440009545
28,237,2.4887198869982967
29,248,2.388086820999888
