# Test data: ../data/hepph.txt
# Parameters: L = 3600, beta = 1.0, gamma = 2, nruns = 30, re-insertion = True
# Best result: 1339, duration = 94.06916218900005 # avg: 1445.6, avg duration = 85.7766377026328
# run No., objective function value, duration
0,1397,97.72713376899992
1,1485,90.57702128899837
2,1440,89.49988716999724
3,1403,97.1712098809985
4,1462,92.76380020899887
5,1339,94.06916218900005
6,1465,92.7264138770006
7,1444,97.93652395099707
8,1458,88.21432582899797
9,1360,92.24589910500072
10,1465,94.49306555400108
11,1347,84.99834035299864
12,1444,93.1828824309996
13,1454,90.77399532400159
14,1490,94.57063467899934
15,1454,93.98805020799773
16,1443,84.00152216700008
17,1466,81.59167996900214
18,1469,87.86181136699815
19,1462,93.70664417200169
20,1464,90.27218810799968
21,1475,93.79491289900034
22,1451,88.72505456399813
23,1476,88.92588523599989
24,1442,69.0285902229989
25,1454,67.02677981899978
26,1458,63.37917168000058
27,1489,61.469048732000374
28,1484,59.282572008996794
29,1428,59.294924316000106
