# Test data: ../data/EU_flights.txt
# Parameters: L = 850, beta = 0.4, gamma = 1, nruns = 30, re-insertion = True
# Best result: 138, duration = 1.3538463699806016 # avg: 145.56666666666666, avg duration = 1.3781856924664073
# run No., objective function value, duration
0,145,1.4269106519932393
1,150,1.4347151659894735
2,146,1.4179451410018373
3,146,1.4166817219811492
4,144,1.3341908429865725
5,150,1.3152934350073338
6,143,1.3942637330037542
7,146,1.4224715120217297
8,144,1.3982328489946667
9,144,1.366686944005778
10,146,1.4730134540004656
11,150,1.3012721029808745
12,143,1.4137731489900034
13,139,1.3963510199973825
14,147,1.4406816429982428
15,140,1.3448337810114026
16,147,1.337438579997979
17,152,1.3636331470042933
18,142,1.3761870430025738
19,148,1.3029503050202038
20,148,1.4135972090007272
21,148,1.2829792150005233
22,145,1.381904531008331
23,144,1.2862775450048503
24,153,1.4449814809777308
25,145,1.4029356310202274
26,147,1.3400493799999822
27,142,1.368395394005347
28,145,1.3930777960049454
29,138,1.3538463699806016
