# Test data: ../data/OClinks.txt
# Parameters: L = 1100, beta = 0.4, gamma = 1, nruns = 30, re-insertion = True
# Best result: 233, duration = 1.0643398100219201 # avg: 239.3, avg duration = 1.0731321225059218
# run No., objective function value, duration
0,239,1.0929726030153688
1,242,1.0716819260269403
2,242,1.0600713409949094
3,243,1.0926530210126657
4,243,1.0665056639991235
5,234,1.0427649000193924
6,245,1.0881467839935794
7,240,1.0604747390025295
8,245,1.0709341159963515
9,240,1.0787956840067636
10,233,1.0643398100219201
11,242,1.0676576240221038
12,235,1.060758823005017
13,243,1.1011746320000384
14,239,1.076665786007652
15,233,1.0684432040143292
16,242,1.1334206909814384
17,235,1.071509844972752
18,242,1.0877498860063497
19,244,1.0770489440183155
20,240,1.0623328660149127
21,235,1.0346505420166068
22,235,1.0497332989762072
23,237,1.0474299270135816
24,243,1.0730183550040238
25,237,1.0613480629981495
26,233,1.0767487900156993
27,240,1.0897157200088259
28,237,1.0936220150033478
29,241,1.0715940750087611
