# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.4, gamma = 3, nruns = 30, re-insertion = True
# Best result: 265, duration = 30.66021522400115 # avg: 275.3, avg duration = 30.10471881669946
# run No., objective function value, duration
0,300,30.30242673199973
1,271,28.832888441997056
2,276,29.53343436599971
3,275,30.137300806993153
4,265,30.66021522400115
5,281,30.38903107999795
6,271,30.360541303998616
7,269,29.24202312599664
8,271,31.474765587001457
9,265,30.04772029200103
10,272,29.251180562998343
11,274,29.687004419000004
12,274,30.680901690997416
13,265,29.149327865998202
14,280,29.753926900004444
15,267,29.64966417800315
16,320,31.470562702997995
17,269,30.18266923000192
18,275,30.3733875800026
19,268,29.467068170997663
20,276,30.43358631600131
21,282,30.254380559999845
22,276,30.05356117500196
23,277,30.05317838699557
24,278,30.512628725999093
25,267,30.202201310996315
26,274,29.830088885995792
27,275,31.111267147003673
28,280,29.56578149500274
29,266,30.47885023699928
