# Test data: ../data/astroph.txt
# Parameters: L = 12000, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 1899, duration = 5.046524110000064 # avg: 1986.3333333333333, avg duration = 4.967744314933498
# run No., objective function value, duration
0,1944,4.943148557000313
1,1964,4.8571938100003536
2,1931,4.949990664000325
3,1937,4.951312636000694
4,1987,4.942075683000439
5,2007,4.9576798979996965
6,1919,4.976600979999603
7,2060,5.039072032000149
8,2010,4.951402211000641
9,1971,4.9606968650005
10,1955,4.968889396999657
11,2063,5.0681591749998915
12,2009,4.969136298000194
13,1950,5.01234572300018
14,1981,4.982966192000276
15,1992,5.323274985000353
16,2009,4.95375393500035
17,1944,4.913618456999757
18,2095,4.985700511999312
19,2003,4.837794076000137
20,2057,5.007671988000766
21,2008,4.946022210000592
22,1994,4.920164019000367
23,2017,4.85430739200001
24,1975,4.936279551000553
25,1984,4.918951017999461
26,1989,4.978460160000395
27,1899,5.046524110000064
28,1941,4.960461436000514
29,1995,4.918675477999386
