# Test data: ../data/com-youtube.ungraph_dat.txt
# Parameters: L = 567445, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 28905, duration = 964.1425431240023 BC
# avg: 29417.4, avg duration = 987.4969135649666
# run No., objective function value, duration
0,29772,1005.8221744589991
1,29343,984.6820257669988
2,29304,987.5512047920001
3,29336,980.0602720459992
4,29177,984.6661077579993
5,28905,964.1425431240023
6,29436,986.310295260002
7,29335,992.7608798319998
8,29620,993.1413015269973
9,29852,995.5365187639982
10,29214,984.9560816689991
11,29972,974.6432729279986
12,29768,985.3328387250003
13,29640,985.9725144760014
14,29025,981.5753108300014
15,29218,976.7601035959997
16,29452,986.576785387002
17,29454,985.6686360349995
18,29453,1002.6082877500012
19,29611,1005.3691646749976
20,29383,977.9235823280032
21,29451,991.363767943003
22,29138,998.9951417959965
23,29300,999.9325254150026
24,29434,1003.267360910002
25,29829,986.551027360998
26,29242,979.436017166001
27,29188,991.6755123420007
28,29147,978.7224362319976
29,29523,972.9037160559965
