# Test data: ../data/grqc.txt
# Parameters: L = 20, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 498, duration = 0.3205572590004522 # avg: 505.3, avg duration = 0.3498776747333674
# run No., objective function value, duration
0,503,0.3533516649995363
1,506,0.3375335040000209
2,511,0.34778628399999434
3,504,0.3489419529996667
4,507,0.34340489500027616
5,503,0.4402520370003913
6,505,0.3451034999998228
7,500,0.33310811999945145
8,503,0.32752072299990687
9,502,0.3411230699994121
10,509,0.34551064200059045
11,501,0.3443170399996234
12,506,0.3395726950002427
13,505,0.35268774700034555
14,508,0.345724132000214
15,510,0.33627767200050585
16,500,0.34398040100040816
17,505,0.42410798499986413
18,509,0.3656388210001751
19,498,0.3205572590004522
20,507,0.35619912600031967
21,504,0.34049311299986584
22,506,0.34903991499959375
23,502,0.3484184450007888
24,516,0.34482833400033996
25,506,0.3364578729997447
26,508,0.3467843669996
27,505,0.3421376299993426
28,501,0.3360216959999889
29,509,0.35944959800053766
