# Test data: ../data/hepph.txt
# Parameters: L = 3600, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 1357, duration = 2.2704085889999988 # avg: 1403.4333333333334, avg duration = 2.294637002433289
# run No., objective function value, duration
0,1384,2.283778472999984
1,1400,2.2677637740007413
2,1403,2.3189337820003857
3,1413,2.2667293260001316
4,1357,2.2704085889999988
5,1407,2.2379662330004066
6,1377,2.321038664000298
7,1396,2.2856556489996365
8,1414,2.257631284999661
9,1379,2.33095731100002
10,1367,2.3841534539997156
11,1402,2.463553464999677
12,1431,2.283384300000762
13,1367,2.2799291439996523
14,1446,2.2619998309992297
15,1422,2.3070933469998636
16,1406,2.268578876999527
17,1375,2.2900272430006225
18,1408,2.2634692080000605
19,1437,2.294847696999568
20,1361,2.2718488130003607
21,1440,2.289378501000101
22,1444,2.269687843999236
23,1422,2.2787426659997436
24,1363,2.3631416139996873
25,1467,2.274444972999845
26,1378,2.276388305999717
27,1393,2.2980473950001397
28,1404,2.3074414980001166
29,1440,2.272088810999776
