# Test data: ../data/openflights.txt
# Parameters: L = 140, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 197, duration = 0.1669588639997528 # avg: 213.6, avg duration = 0.19028914393347804
# run No., objective function value, duration
0,213,0.19939758199961943
1,209,0.18147040300027584
2,206,0.1857063540001036
3,229,0.17884308699922258
4,204,0.18741603200032841
5,208,0.21214062400031253
6,209,0.1885369220008215
7,211,0.18719866500032367
8,208,0.1845411989997956
9,234,0.18244419600068795
10,205,0.17717589499989117
11,219,0.18304350900052668
12,216,0.18312925200007157
13,218,0.19024307600011525
14,208,0.18963282900040213
15,204,0.19219426400013617
16,217,0.22333799300031387
17,209,0.18173023300005298
18,218,0.18262711500028672
19,225,0.19663947800017922
20,225,0.17784387499978038
21,215,0.1883473520001644
22,232,0.1922578120002072
23,208,0.28823963299964817
24,206,0.19730997900023795
25,208,0.1715757769998163
26,214,0.18271678500059352
27,220,0.17596066500027518
28,197,0.1669588639997528
29,213,0.18001486800039856
