# Test data: ../data/twitter_combined_dat.txt
# Parameters: L = 40653, beta = 1.0, log = 1, nruns = 30, re-insertion = False
# Best result: 3768, duration = 49.546564829999625 # avg: 5309.033333333334, avg duration = 49.458841347199936
# run No., objective function value, duration
0,5924,49.90073844699964
1,4723,49.99790831300015
2,5717,49.64618252499986
3,5805,49.07694062900009
4,5670,48.979815626000345
5,5927,49.039077355999325
6,4837,49.857980299999326
7,4226,49.525406978999854
8,5757,49.8942755500002
9,4045,49.978054499999416
10,4912,48.944924887000525
11,5860,49.55564788599986
12,5706,49.47997672299971
13,5438,48.58539492999989
14,5878,49.26405628700013
15,5789,49.23117969000123
16,5711,50.12714733299981
17,5697,49.568397447999814
18,5634,48.67356950199974
19,5906,49.78777890699894
20,5819,49.29265233899969
21,5271,49.22891327599973
22,5527,49.531230293998306
23,3768,49.546564829999625
24,5625,49.52285841199955
25,5583,49.60676810500081
26,4142,48.94282777800072
27,4028,50.57279552200089
28,6033,49.52087467900128
29,4313,48.8853013629996
