# Test data: ../data/com-amazon.ungraph_dat.txt
# Parameters: L = 167431, beta = 0.4, log = 2, nruns = 30, re-insertion = False
# Best result: 10903, duration = 2907.916153290993 BC
# avg: 11685.2, avg duration = 2892.205054732565
# run No., objective function value, duration
0,11759,2899.4680986389976
1,12135,2903.663352716001
2,11248,2905.528014086998
3,11213,2873.7379739619973
4,11647,2866.781776969001
5,12140,2895.193503536
6,11149,2883.029121329004
7,11189,2859.9733422189965
8,11721,2880.2329408519945
9,11882,2883.654527322993
10,11496,2855.659884642999
11,10945,2892.363376604997
12,11722,2873.1002520589973
13,12317,2906.1208035630043
14,11313,2877.8603366909956
15,11560,2894.508889404002
16,12300,2904.250978405995
17,11437,2882.007012388989
18,11165,2854.748769967002
19,12462,2947.3557429659995
20,12161,2876.2280056200107
21,12546,2867.8094250050053
22,11502,2937.1806222759915
23,10903,2907.916153290993
24,11291,2933.8996166989964
25,12633,2904.277870334001
26,12139,2875.371702143995
27,11234,2907.409366262
28,11631,2901.910250763991
29,11716,2914.9099312570033
