# Test data: ../data/OClinks.txt
# Parameters: L = 1100, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 218, duration = 2.35321701400062 # avg: 226.83333333333334, avg duration = 2.479598442100117
# run No., objective function value, duration
0,226,2.46592099100053
1,229,2.4800352150014078
2,227,2.4662899660015682
3,228,2.4721494469995378
4,228,2.5078655470006197
5,218,2.35321701400062
6,227,2.4646055799985334
7,224,2.528448443999878
8,225,2.569092671999897
9,231,2.4833768130010867
10,223,2.5162559620002867
11,230,2.4759037960011483
12,228,2.448064707999947
13,226,2.514213069998732
14,224,2.4482034760003444
15,227,2.4937794970010145
16,228,2.4594638629987458
17,219,2.4833797040009813
18,223,2.4479640280005697
19,227,2.5294586410000193
20,232,2.433175589001621
21,225,2.4993254840010195
22,230,2.5694022739990032
23,230,2.4623074769988307
24,228,2.535813184998915
25,230,2.4507319160002226
26,226,2.4381890579988976
27,228,2.4579042940004
28,232,2.4604988249993767
29,226,2.472916726999756
