# Test data: ../data/USAir97.txt
# Parameters: L = 70, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 34, duration = 0.13551631900008942 # avg: 35.56666666666667, avg duration = 0.14769304536651665
# run No., objective function value, duration
0,36,0.14297624199934944
1,36,0.1497418100007053
2,37,0.1543070939987956
3,35,0.16290761999880488
4,35,0.14608457699978317
5,36,0.14633002600021427
6,36,0.14032467499964696
7,36,0.1426913510003942
8,36,0.1562536010005715
9,34,0.13551631900008942
10,34,0.15186082099899068
11,37,0.13907279500017466
12,37,0.16215031999854546
13,35,0.13596309200147516
14,36,0.1577964799998881
15,35,0.14173604099960357
16,38,0.16438283300158218
17,35,0.14065057600055297
18,34,0.15306655499989574
19,36,0.1487203060005413
20,37,0.153589514999112
21,34,0.13933181100037473
22,38,0.15780710099897988
23,37,0.14303033099895401
24,34,0.14745679999941785
25,35,0.144219706999138
26,34,0.1643248489999678
27,35,0.1421551929997804
28,34,0.13409538100131613
29,35,0.132247538998854
