# Test data: ../data/grqc.txt
# Parameters: L = 20, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 496, duration = 5.390997417000108 # avg: 505.8, avg duration = 5.531901784433406
# run No., objective function value, duration
0,509,5.354246548000447
1,510,5.260796622998896
2,505,5.169456655999966
3,503,5.3961108769999555
4,508,5.4081838839993
5,508,5.518804652998369
6,498,5.737677744000393
7,511,5.627299144000062
8,506,5.6006513760003145
9,507,5.550234937998539
10,507,5.373204576000717
11,507,5.4653291840004385
12,509,5.400501340000119
13,505,5.790654381000422
14,507,5.660555350001232
15,510,5.536510087000352
16,506,5.810769395000534
17,507,5.608775820999654
18,505,5.292645325000194
19,506,5.8665654540000105
20,502,5.61293951100015
21,500,5.437691217000975
22,507,5.218299476999164
23,497,5.478463892999571
24,508,5.874642332000803
25,496,5.390997417000108
26,506,5.729984735000471
27,512,5.790713375999985
28,506,5.238669878999644
29,506,5.7556783400013956
