# Test data: ../data/yeast1.txt
# Parameters: L = 6, beta = 0.4, log = 2, nruns = 30, re-insertion = True
# Best result: 201, duration = 1.5083714489992417 # avg: 204.53333333333333, avg duration = 1.4816869222331661
# run No., objective function value, duration
0,204,1.2963356070013106
1,204,1.4660179390011763
2,207,1.4941426639998099
3,205,1.5552428439987125
4,206,1.5264114569999947
5,205,1.534708278000835
6,207,1.521856654999283
7,204,1.4015565700010484
8,203,1.5218443209996622
9,205,1.4862581179986591
10,205,1.524038682000537
11,206,1.4884448449993215
12,201,1.5083714489992417
13,205,1.5319955830000254
14,205,1.4853911570007767
15,205,1.646102778999193
16,203,1.5720623029992566
17,205,1.492359703999682
18,204,1.582959702000153
19,205,1.4196278859999438
20,203,1.4446306689987978
21,204,1.556386983000266
22,203,1.3626223800001753
23,204,1.33970380899882
24,206,1.5122523629997886
25,205,1.5125793309998699
26,205,1.3908770679990994
27,204,1.3104923869996128
28,202,1.5416569849985535
29,206,1.423677149001378
