# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.1, log = 2, nruns = 10, re-insertion = True
# Best result: 265, duration = 83.0632511549993 BDC
# avg: 286.8, avg duration = 77.45956431829981
# iteration No., bc value, bdc value, duration
0,401,306,93.21473399899696
1,387,286,89.48224972200114
2,327,282,78.00226530800137
3,331,319,89.33337136099726
4,407,288,92.66658254199865
5,330,265,83.0632511549993
6,409,278,91.73128612399887
7,399,276,94.32092385600117
8,394,288,33.59988505900401
9,389,280,29.181094056999427
