# Test data: ../data/OClinks.txt
# Parameters: L = 1100, beta = 0.4, gamma = 2, nruns = 30, re-insertion = True
# Best result: 222, duration = 2.4006606200127862 # avg: 227.63333333333333, avg duration = 2.3809553537352866
# run No., objective function value, duration
0,227,2.343816454987973
1,230,2.3875821030233055
2,226,2.3778009150119033
3,229,2.366517971007852
4,227,2.3796705120184924
5,229,2.3474938989966176
6,227,2.341869866999332
7,227,2.38735308800824
8,225,2.369843297987245
9,232,2.3540900769876316
10,229,2.369578245008597
11,227,2.3609296290087514
12,227,2.4110703470068984
13,225,2.3976882050046697
14,226,2.370371035009157
15,223,2.3674686120066326
16,231,2.4134733350074384
17,225,2.423052247002488
18,227,2.389306928991573
19,225,2.382032994995825
20,231,2.3585844070184976
21,233,2.423826367012225
22,227,2.368868147023022
23,226,2.407315888995072
24,222,2.4006606200127862
25,231,2.3698631750012282
26,226,2.4016130809905007
27,229,2.388795210979879
28,230,2.3642745489778463
29,230,2.403849401976913
