# Test data: ../data/hepph.txt
# Parameters: L = 3600, beta = 0.4, gamma = 3, nruns = 30, re-insertion = True
# Best result: 1309, duration = 529.1893929130019 # avg: 1419.6333333333334, avg duration = 534.1060314518346
# run No., objective function value, duration
0,1373,536.2441652400012
1,1422,541.6643811979957
2,1473,535.5932651790063
3,1395,536.2162890170002
4,1398,536.796239741001
5,1452,532.4078962330022
6,1419,532.6506234820044
7,1449,536.7429782090039
8,1475,535.2134015880001
9,1430,532.4906181280021
10,1428,529.2130697699977
11,1421,533.6879766550046
12,1352,537.622705132002
13,1449,528.9117027020038
14,1445,536.4811029560005
15,1460,530.5125348349975
16,1416,533.9210330490023
17,1414,525.2633850560014
18,1444,538.1858835789972
19,1433,538.1384370860033
20,1379,529.0835204870018
21,1365,538.0375106950014
22,1309,529.1893929130019
23,1421,533.230817540003
24,1459,537.431937952002
25,1402,533.7170953930035
26,1477,540.5908196749951
27,1437,530.783322318006
28,1396,531.9295603069986
29,1396,531.2292774399975
