# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.6, log = 2, nruns = 30, re-insertion = True
# Best result: 261, duration = 15.792385657001432 BDC
# avg: 288.6, avg duration = 18.696933472266632
# iteration No., bc value, bdc value, duration
0,285,324,20.136434347998147
1,314,268,19.3388518890024
2,300,280,20.66237285099851
3,395,342,19.783370970999385
4,307,279,19.84351932700156
5,330,289,19.787411258999782
6,353,276,18.735783238000295
7,305,272,18.01032008599941
8,330,316,19.36755885400271
9,357,278,19.37576740000077
10,338,286,21.93075384199983
11,358,273,19.696221459998924
12,331,329,20.06631410299815
13,380,276,20.21858449300271
14,292,275,18.884789452000405
15,291,286,18.14272968199657
16,380,273,20.27800501800084
17,407,334,21.729431851999834
18,335,292,19.81989152099777
19,288,278,18.61150323000038
20,383,279,19.06374148100076
21,306,280,20.504213313997752
22,310,309,19.490329404001386
23,321,289,19.972142583003006
24,335,261,15.792385657001432
25,322,278,15.310338964001858
26,329,276,14.750039388000005
27,312,316,13.45230717999948
28,307,329,14.314923778998491
29,336,280,13.837967541996477
