# Test data: ../data/condmat.txt
# Parameters: L = 500, beta = 1.0, log = 2, nruns = 30, re-insertion = True
# Best result: 2435, duration = 162.147147022 BC
# avg: 2468.4, avg duration = 151.6565235862333
# iteration No., bc value, bdc value, duration
0,2470,2677,169.76952073500001
1,2507,2685,167.56820162199995
2,2440,2707,169.15047119399998
3,2500,2684,154.697167461
4,2445,2682,168.39563342300005
5,2471,2700,156.82848469700002
6,2489,2654,170.894482481
7,2463,2712,170.453181498
8,2459,2699,131.92899094400002
9,2476,2633,135.69761950700007
10,2451,2680,151.967704412
11,2456,2718,174.08821372199998
12,2514,2676,171.564743792
13,2451,2679,167.32403512999997
14,2448,2735,172.80116523600003
15,2458,2735,166.96120285299997
16,2478,2674,157.11049489200002
17,2460,2675,145.82316572900004
18,2453,2699,133.97018430599996
19,2477,2710,173.29912263100005
20,2501,2717,144.65912893199993
21,2435,2724,162.147147022
22,2441,2709,166.28435542700004
23,2479,2697,170.193894537
24,2469,2759,137.23762567400001
25,2455,2704,135.997912542
26,2470,2682,127.77418021200003
27,2470,2681,106.14811096800008
28,2483,2725,96.32270656200001
29,2483,2671,92.63685944600002
