# Test data: ../data/humanDiseasome.txt
# Parameters: L = 10, beta = 0.2, gamma = 2, nruns = 30, re-insertion = True
# Best result: 49, duration = 0.9939604399987729 # avg: 49.93333333333333, avg duration = 0.9394853226996929
# run No., objective function value, duration
0,50,1.017652331996942
1,50,0.8931801500002621
2,49,0.9939604399987729
3,50,0.9814523159984674
4,50,0.995275622997724
5,50,0.99803983899983
6,51,0.8789575880000484
7,50,0.9398744050013192
8,49,1.071966183000768
9,50,0.9796615199993539
10,50,1.1208405990000756
11,50,1.0329970859966124
12,50,1.08950836099757
13,50,0.9267380550008966
14,50,1.0565763279992098
15,49,0.8477078530013387
16,50,1.0222276080021402
17,50,1.0452748349998728
18,50,0.9373783789997105
19,50,0.9460888009998598
20,50,1.0423247760008962
21,50,1.0066365849997965
22,50,0.911318622998806
23,50,0.9796885889991245
24,50,0.7854579369995918
25,51,0.7956255890021566
26,49,0.7944733849981276
27,50,0.6574201490002451
28,50,0.7795008760003839
29,50,0.656754871000885
