# Test data: ../data/OClinks.txt
# Parameters: L = 1100, beta = 0.8, gamma = 2, nruns = 30, re-insertion = True
# Best result: 227, duration = 3.3714690019987756 # avg: 235.6, avg duration = 4.819290618033604
# run No., objective function value, duration
0,235,5.278667243997916
1,237,5.296534075001546
2,237,5.158607459998166
3,233,5.211353579998104
4,234,5.212387897001463
5,233,5.207032450001861
6,235,4.717578739997407
7,240,5.206177688000025
8,228,5.22972116299934
9,242,4.7314421179980855
10,237,5.161247984000511
11,236,5.142870485000458
12,238,5.156920307999826
13,240,5.148297513002035
14,233,5.156521364002401
15,236,4.590219650002837
16,236,4.74605642700044
17,239,5.0486707749987545
18,239,5.14856147500177
19,238,5.323429910000414
20,235,5.321785684998758
21,231,5.378761881001992
22,229,5.4124115420017915
23,235,5.242424336000113
24,231,3.4061878440006694
25,240,3.8187076680005703
26,236,3.7310820040002
27,227,3.3714690019987756
28,235,3.513832595999702
29,243,3.5097576770021988
