# Test data: ../data/facebook.txt
# Parameters: L = 450, beta = 0.8, gamma = 2, nruns = 30, re-insertion = True
# Best result: 254, duration = 17.34083478800312 # avg: 299.3, avg duration = 15.682822330366859
# run No., objective function value, duration
0,341,17.358892816999287
1,273,17.59941304500171
2,254,17.34083478800312
3,272,16.456331684999896
4,295,15.46988625800077
5,283,16.478761031998147
6,321,16.41374313400229
7,321,18.74817516999974
8,298,15.849949540002854
9,330,16.93882561600185
10,271,16.530645120998088
11,302,16.109657536999293
12,313,16.015032831997814
13,329,16.79062179599714
14,338,17.190844920001837
15,294,15.904396588000964
16,289,15.525891512999806
17,289,15.912202323997917
18,316,16.206970800001727
19,277,16.626146146998508
20,288,17.283656758001598
21,342,17.14461461999963
22,290,16.239934479999647
23,284,17.50630113800071
24,300,12.067914066999947
25,307,11.53909041499719
26,290,12.52267528000084
27,283,11.882964369000547
28,293,11.542253864001395
29,296,11.288042257001507
