# Test data: ../data/hepph.txt
# Parameters: L = 3600, beta = 0.8, gamma = 2, nruns = 30, re-insertion = True
# Best result: 1386, duration = 90.24999526800093 # avg: 1455.5666666666666, avg duration = 101.4167157144664
# run No., objective function value, duration
0,1483,104.97099606799748
1,1448,101.37882901600096
2,1418,111.81074519100002
3,1507,109.48780681199787
4,1479,106.50929924400043
5,1465,107.97915430799912
6,1452,107.26758520200019
7,1482,110.20832119400075
8,1397,92.88104955900053
9,1417,104.07628063700031
10,1490,104.35799715599933
11,1489,108.21510851499988
12,1493,109.22134581400314
13,1460,108.53090421699744
14,1443,107.68162151299839
15,1475,106.74390735699853
16,1386,90.24999526800093
17,1412,105.02369988899954
18,1413,101.48398670999813
19,1405,107.32166918800067
20,1493,112.42730976500025
21,1440,107.91932289200122
22,1501,109.92252858500069
23,1457,109.42682242499723
24,1474,92.1191730870014
25,1434,81.91678643200066
26,1457,85.44842200199855
27,1490,80.89023365200046
28,1437,79.75955328499913
29,1470,77.27101645099901
