# Test data: ../data/EU_flights.txt
# Parameters: L = 850, beta = 1.0, gamma = 2, nruns = 30, re-insertion = True
# Best result: 134, duration = 5.257888895997894 # avg: 137.76666666666668, avg duration = 4.784136246000344
# run No., objective function value, duration
0,143,5.348942166001507
1,134,5.257888895997894
2,139,4.948410414002865
3,142,4.980883730000642
4,137,5.275875986000756
5,139,5.341709460000857
6,141,5.33848112400301
7,138,5.265387112998724
8,136,4.5366839169982995
9,140,5.1839973159985675
10,138,5.257065330999467
11,135,5.274213688997406
12,135,5.1672307000008
13,136,5.2098710339996614
14,139,4.6045444829978806
15,134,5.231343497001944
16,136,4.389776598000026
17,140,5.434979032001138
18,137,5.219698853001319
19,140,5.110724596001091
20,134,4.411288789000537
21,136,5.279282536001119
22,136,4.893317121001019
23,134,4.976341492001666
24,141,4.021445775000757
25,143,3.5101378959989233
26,135,3.6056736440004897
27,143,3.442873886000598
28,136,3.61087437900278
29,136,3.3951439269985713
