# Test data: ../data/hepph.txt
# Parameters: L = 3600, beta = 0.4, gamma = 1, nruns = 30, re-insertion = True
# Best result: 1311, duration = 18.537217592005618 # avg: 1367.1333333333334, avg duration = 18.77957849413409
# run No., objective function value, duration
0,1451,18.68553132598754
1,1388,18.47874672000762
2,1336,18.653656688024057
3,1351,18.770609925995814
4,1380,19.12387735498487
5,1386,18.790504859993234
6,1369,19.139660838001873
7,1382,18.853645905008307
8,1368,19.12633192600333
9,1316,19.045473662990844
10,1382,18.79613217600854
11,1377,18.92195698499563
12,1320,18.80788958701305
13,1369,19.2033056190121
14,1378,19.064571231981972
15,1332,18.76541002301383
16,1361,18.884054605005076
17,1343,18.61426326900255
18,1405,18.47407319699414
19,1367,18.46342541699414
20,1353,18.945581359992502
21,1311,18.537217592005618
22,1348,18.531215448019793
23,1428,18.686742280988256
24,1397,18.476947165007005
25,1334,18.67901865701424
26,1360,18.68534167399048
27,1358,18.647448720003013
28,1421,18.887304056988796
29,1343,18.6474165529944
