# Test data: ../data/OClinks.txt
# Parameters: L = 1100, beta = 0.4, gamma = 3, nruns = 30, re-insertion = True
# Best result: 215, duration = 15.996208518001367 # avg: 220.76666666666668, avg duration = 16.04429416719989
# run No., objective function value, duration
0,217,15.836210036999546
1,222,16.06264914500207
2,215,15.996208518001367
3,219,16.17259854999429
4,223,15.978826588994707
5,225,15.884276160002628
6,222,15.856231612000556
7,222,16.173803636993398
8,218,16.13175666900497
9,221,16.067520549004257
10,220,16.21428222200484
11,216,15.939651540997147
12,218,16.35029704799672
13,222,15.906148624999332
14,219,16.08744125100202
15,223,15.782514025995624
16,222,15.878391219994228
17,221,15.978941339999437
18,224,16.094476767000742
19,220,16.089950030000182
20,224,15.907670164997398
21,222,16.33566363999853
22,215,16.094487826005206
23,220,15.9125595229998
24,219,16.179708397001377
25,219,16.2664884170008
26,226,16.113326323000365
27,222,16.160036897999817
28,220,16.07519884800422
29,227,15.801509443001123
